province,market,type,name,standard,area,color,unit,minprice,avgprice,maxprice,entertime,time
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-10-21
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-10-20
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-10-19
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-10-17
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-10-16
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-10-15
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-10-14
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-10-13
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-10-12
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-10-11
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-10-10
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-10-9
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-10-8
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-10-7
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-10-6
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-10-5
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-10-4
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-10-3
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-10-2
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-10-1
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-9-30
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-9-29
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-9-28
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-9-27
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-9-26
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-9-24
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-9-23
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-9-22
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-9-21
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-9-20
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-9-18
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3,,,2019-9-16
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-9-15
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-9-14
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-9-13
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-9-12
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-9-11
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-9-10
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3.6,,,2019-9-9
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3.6,,,2019-9-8
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3.6,,,2019-9-7
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3.6,,,2019-9-6
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-9-4
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4,,,2019-9-3
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-9-2
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2019-9-1
